Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-12-17 10:24:14.070 +0900,"Aborted",0:00:04,1,0,0,"20181217_102414.070/LogFile.txt","","",0
2018-12-17 11:40:02.025 +0900,"Success",0:00:07,0,0,0,"20181217_114002.025/LogFile.txt","","",1
2018-12-21 17:01:19.721 +0900,"Aborted",0:00:53,1,0,1,"20181221_170119.721/LogFile.txt","","",6
2018-12-21 17:06:55.090 +0900,"Aborted",0:01:14,1,0,0,"20181221_170655.090/LogFile.txt","","",7
2018-12-21 17:12:42.946 +0900,"Aborted",0:00:10,1,0,1,"20181221_171242.946/LogFile.txt","","",0
2018-12-21 17:12:58.983 +0900,"Success",0:01:11,0,0,0,"20181221_171258.983/LogFile.txt","","",5
